customer_id,password,customer_zip_code_prefix,customer_city,customer_state,first_name,last_name,email_address,street_address
06b8999e2fba1a1fbc88172c00ba8bc7,861eff4711a542e4b93843c6dd7febb0,14409,franca,SP,Oliver,Souza,oliver.souza_0@example.com,Ladeira Mendes 80
18955e83d337fd6b2def6b18a428ac77,290c77bc529b7ac935b93aa66c333dc3,09790,sao bernardo do campo,SP,Sara,Barros,sara.barros_1@example.com,Passarela Maria Caldeira 69
4e7b3e00288586ebd08712fdd0374a03,060e732b5b29e8181a18229c7b0b2b5e,01151,sao paulo,SP,Maitê,Pereira,maitê.pereira_2@example.com,Quadra João Gabriel Andrade 57
b2b6027bc5c5109e529d4dc6358b12c3,259dac757896d24d7702b9acbbff3f3c,08775,mogi das cruzes,SP,Camila,Mendonça,camila.mendonça_3@example.com,Vereda Sales 150
4f2d8ab171c80ec8364f7c12e35b23ad,345ecd01c38d18a9036ed96c73b8d066,13056,campinas,SP,Maria Luiza,Porto,maria luiza.porto_4@example.com,Vale Ísis Rios 32
879864dab9bc3047522c92c82e1212b8,4c93744516667ad3b8f1fb645a3116a4,89254,jaragua do sul,SC,Gustavo,Sampaio,gustavo.sampaio_5@example.com,Trevo Léo da Cruz 45
fd826e7cf63160e536e0908c76c3f441,addec96d2e059c80c30fe6871d30d177,04534,sao paulo,SP,Josué,Novais,josué.novais_6@example.com,Conjunto da Paz 69
5e274e7a0c3809e14aba7ad5aae0d407,57b2a98a409812fe9618067b6b8ebe4f,35182,timoteo,MG,Cauê,Moura,cauê.moura_7@example.com,Travessa de Camargo 11
5adf08e34b2e993982a47070956c5c65,1175e95fb47ddff9de6b2b06188f7e0d,81560,curitiba,PR,Davi Miguel,Nogueira,davi miguel.nogueira_8@example.com,Passarela de Cirino 115
4b7139f34592b3a31687243a302fa75b,9afe194fb833f79e300e37e580171f22,30575,belo horizonte,MG,Apollo,Pereira,apollo.pereira_9@example.com,Núcleo Anthony Gabriel Dias 186
9fb35e4ed6f0a14a4977cd9aea4042bb,2a7745e1ed516b289ed9b29c7d0539a5,39400,montes claros,MG,Luiz Henrique,Macedo,luiz henrique.macedo_10@example.com,Parque Davi Luiz Moura 111
